minggu,ayam_terjual,harga_per_ekor,modal_per_ekor,utang,hari_raya,pengeluaran
1,1275,75000,70000,0,0,0
2,1345,75000,70000,0,0,0
3,1300,75000,70000,0,0,0
4,1360,75000,70000,0,0,0
5,1285,75000,70000,100000,0,0
6,1335,75000,70000,0,0,0
7,1290,75000,70000,0,0,0
8,1370,75000,70000,0,0,0
9,1315,75000,70000,0,0,0
10,1260,75000,70000,0,0,0
11,1340,75000,70000,0,0,0
12,1295,75000,70000,0,0,0
13,1380,83000,75000,0,1,100000
14,1270,75000,70000,0,0,0
15,1355,75000,70000,100000,0,0
16,1310,75000,70000,0,0,0
17,1285,75000,70000,0,0,0
18,1360,75000,70000,0,0,0
19,1290,75000,70000,0,0,0
20,1345,75000,70000,0,0,0
21,1275,75000,70000,0,0,0
22,1320,75000,70000,0,0,0
23,1390,83000,75000,0,1,100000
24,1260,75000,70000,0,0,0
25,1335,75000,70000,100000,0,0
26,1380,75000,70000,0,0,0
27,1295,75000,70000,0,0,0
28,1370,75000,70000,0,0,0
29,1315,75000,70000,0,0,0
30,1280,75000,70000,0,0,0
31,1350,75000,70000,0,0,0
32,1300,75000,70000,0,0,0
33,1365,75000,70000,0,0,0
34,1270,75000,70000,0,0,0
35,1340,75000,70000,0,0,0
36,1290,75000,70000,0,0,0
37,1325,75000,70000,0,0,0
38,1385,75000,70000,0,0,0
39,1265,75000,70000,0,0,0
40,1330,75000,70000,100000,0,0
41,1280,75000,70000,0,0,0
42,1355,75000,70000,0,0,0
43,1310,75000,70000,0,0,0
44,1275,75000,70000,0,0,0
45,1360,75000,70000,0,0,0
46,1295,75000,70000,0,0,0
47,1345,75000,70000,0,0,0
48,1300,75000,70000,0,0,0
49,1370,75000,70000,0,0,0
50,1285,75000,70000,100000,0,0
51,1335,75000,70000,0,0,0
52,1290,75000,70000,0,0,0
